Model,MAE,RMSE,R2,Train_Time_Seconds
Linear Regression (baseline),3.23,4.89,0.792,7.1
RF Default,2.446510858466261,3.7710481778772036,0.8762300741308344,1123.4423520565033
RF Tuned,2.4107346391772984,3.7281735616759675,0.8790284587792734,1010.5849301815033
XGBoost Default,2.5082801749219006,3.842193563359093,0.8715158814857528,18.933164596557617
XGBoost Tuned,2.251693934604197,3.4994060402011065,0.893419036175134,145.37983918190002
