feature,xgb_importance,rf_importance
dist_very_long,0.5524821,0.06559189415608636
trip_distance,0.08495484,0.3361082488897244
dist_short,0.065229796,0.01820699745960721
log_trip_distance,0.036473278,0.2939008514192106
rate_1.0,0.020330787,0.006192376968011496
dist_medium,0.01617226,0.008944463780433273
cbd_within_cbd,0.016110988,0.0025593058970684577
pu_is_airport,0.013170048,0.002247311392320189
is_extreme_fare,0.011953996,0.0023686230134992168
is_airport_trip,0.011286974,0.008031347803091747
pickup_hour_cos,0.010469934,0.02284212380950512
distance_x_passenger,0.008948625,0.07568593200439026
period_afternoon,0.0081248805,0.0034653401667831597
do_is_airport,0.007831569,0.001138541250110266
rate_2.0,0.0060745915,0.0028270147998485156
dist_long,0.0058733057,0.0017643019815102212
period_early_morning,0.005489963,0.0009385839733526412
is_extreme_distance,0.00544644,0.0004664538951496879
cbd_out_of_cbd,0.0053360253,0.0015628319217787208
is_weekend,0.0053109676,0.002595570780111425
cbd_outside_cbd,0.0051417793,0.0016209287678790782
dropoff_zone_popularity,0.0048061213,0.018922441137140644
do_is_cbd,0.00428967,0.001880236744978823
pickup_hour,0.0040629148,0.012850716054923893
rate_5.0,0.003975742,0.0002767241991018458
pickup_day_of_week,0.0038840312,0.005344909112035857
cbd_congestion_fee,0.0037789468,0.0031196349763945672
congestion_surcharge,0.0037693854,0.0012259498146569652
rate_3.0,0.0036832988,0.00035370886269134435
Airport_fee,0.0031924457,0.0013671776027022818
DOLocationID,0.0030980755,0.014700829057825951
pickup_dow_cos,0.0030683663,0.00355590450217075
pu_is_cbd,0.0029301522,0.0011426876608978036
PULocationID,0.0029136257,0.009524097608155088
is_same_zone,0.002905137,0.0010540302669997273
pickup_dow_sin,0.0028836066,0.0061760432507715944
cbd_into_cbd,0.0028821253,0.0008390135838243224
pickup_day_of_month,0.002872913,0.014860563660982058
pickup_hour_sin,0.002823674,0.009192965032001153
period_morning,0.0028018842,0.0011020030043747456
pickup_zone_popularity,0.002536421,0.013121343139275645
pu_cluster_low,0.0024453665,1.215122775590774e-05
rate_4.0,0.002141724,0.00017901553496682432
do_cluster_high,0.0020559153,0.0003197843128835084
hour_x_day_of_week,0.0019712467,0.008720218256959608
is_rush_hour,0.0019444982,0.002585911178559608
do_cluster_low,0.0018441381,0.00011193900853127256
do_cluster_medium,0.0017897456,0.0003084180218858649
period_night,0.0017397521,0.00034023682382247514
passenger_count,0.0016561487,0.0007639285895763606
period_evening,0.0015416059,0.00047211679781587556
pu_cluster_high,0.0014382983,3.97051568137234e-05
is_peak_hour,0.001431465,0.00030794664463626025
pu_cluster_medium,0.0014090971,4.510544942743392e-05
pax_1,0.0012136847,0.00045250574359941074
vendor_1,0.000958466,0.0011485016958396308
is_single_passenger,0.00095401844,0.00031856717135812925
pay_1,0.00095187005,0.0011162388076924976
vendor_2,0.0009110522,0.0011518589649040342
pay_2,0.0008908396,0.001121949390365636
pax_3+,0.00067177543,0.00023895237447978283
pax_2,0.0006675281,0.000574925446749083
