model,MAE,RMSE,R2
Predict Mean,7.593364976938054,10.719016756009847,-2.0002934681961904e-06
Predict Median,7.18545902604135,11.107673145861234,-0.07383400483806368
Linear Regression,3.23172363281454,4.887589770258224,0.7920875656492176
