model,Accuracy,Precision,Recall,F1,AUC-ROC
Predict Majority (Always Yes),0.7455097142715021,0.7455097142715021,1.0,0.8542028820305302,0.5
Logistic Regression,0.9361411522821388,0.9413630861477101,0.9750790941289638,0.9579245069160798,0.9636280251395619
