Model,Accuracy,Precision,Recall,F1,AUC_ROC,Train_Time_Seconds
Logistic Regression (baseline),0.936,0.941,0.975,0.958,0.964,0.0
RF Default,0.963791695510336,0.9799508588482122,0.9713037047745608,0.9756081215042264,0.9878519457122676,156.14430785179138
RF Tuned,0.9642373042948397,0.9901271250726368,0.9616178016002314,0.9756642441388979,0.9907444190340885,275.14321064949036
XGBoost Default,0.9659969408438794,0.9847196100690738,0.9694326907572464,0.977016357248127,0.9907684266789476,17.306220293045044
XGBoost Tuned,0.9666125027461937,0.9845874809952696,0.9704057292506492,0.97744516707154,0.9912508427570079,51.065322399139404
